id,category,question,optionA,optionB,optionC,optionD,correctAnswer,explanation,level
1,Science,What process converts glucose into pyruvate?,Glycolysis,Krebs cycle,Electron transport,Photosynthesis,A,Glycolysis breaks down glucose into pyruvate in the cytoplasm,Easy
3,Math,What is 7 × 8?,54,55,56,57,C,7 multiplied by 8 equals 56,Easy
5,Science,What gas do plants absorb from the atmosphere during photosynthesis?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,Plants absorb carbon dioxide and release oxygen during photosynthesis,Easy
7,Sports,How many players are on a basketball team during play?,4,5,6,7,B,Each basketball team has 5 players on the court at one time,Easy
8,Science,What is the chemical formula for table salt?,NaCl,KCl,CaCl2,MgCl2,A,Table salt is sodium chloride with the formula NaCl,Easy
9,Math,What is 144 ÷ 12?,11,12,13,14,B,144 divided by 12 equals 12,Easy
11,Science,How many bones are in an adult human body?,196,206,216,226,B,An adult human skeleton contains 206 bones,Medium
13,Math,What is 25% of 80?,15,20,25,30,B,25% of 80 is calculated as 0.25 × 80 = 20,Medium
14,Science,What is the hardest natural substance on Earth?,Gold,Diamond,Iron,Quartz,B,Diamond is the hardest natural substance with a hardness of 10 on the Mohs scale,Medium
17,Science,What is the atomic number of carbon?,4,6,8,12,B,Carbon has 6 protons giving it an atomic number of 6,Medium
18,Math,If a triangle has angles of 60° 60° and 60° what type of triangle is it?,Right,Scalene,Isosceles,Equilateral,D,A triangle with all angles equal to 60° is equilateral,Medium
21,Science,What is the pH of pure water?,5,6,7,8,C,Pure water has a neutral pH of 7,Medium
22,Sports,In which sport would you perform a slam dunk?,Tennis,Basketball,Volleyball,Football,B,A slam dunk is a scoring move in basketball,Medium
23,Math,What is the square root of 81?,7,8,9,10,C,The square root of 81 is 9 because 9 × 9 = 81,Medium
24,Science,Which planet has the most moons?,Jupiter,Saturn,Uranus,Neptune,B,Saturn has the most confirmed moons with over 80 satellites,Medium
26,Science,What is the process by which plants lose water through their leaves?,Respiration,Transpiration,Photosynthesis,Germination,B,Transpiration is the process of water loss from plant leaves,Hard
27,Math,What is the derivative of x²?,x,2x,x²,2x²,B,The derivative of x² with respect to x is 2x,Hard
29,Science,What is the most abundant gas in Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Argon,C,Nitrogen makes up about 78% of Earth's atmosphere,Hard
31,Math,What is the Fourier transform of the Dirac delta function?,0,1,Constant,Undefined,C,The Fourier transform of δ(t) is a constant function,Hard
32,Science,What is the name of the process where a solid changes directly to a gas?,Melting,Evaporation,Sublimation,Condensation,C,Sublimation is the direct transition from solid to gas phase,Hard
35,Math,What is the residue of f(z)=1/(z²+1) at z=i?,1/2,1/2i,-1/2i,i/2,C,Using the residue formula for simple poles at z=i,Hard
36,Science,What is the half-life of Carbon-14?,5730 years,1000 years,10000 years,50000 years,A,Carbon-14 has a half-life of approximately 5730 years,Hard
38,Science,What is the speed of sound in air at room temperature?,343 m/s,300 m/s,400 m/s,500 m/s,A,Sound travels at approximately 343 meters per second in air at 20°C,Hard
39,Math,What is the sum of angles in a hexagon?,540°,720°,900°,1080°,B,The sum of interior angles in a hexagon is 720°,Hard
41,Art,"Who painted ""The Starry Night""?",Pablo Picasso,Vincent van Gogh,Claude Monet,Salvador Dali,B,Vincent van Gogh painted The Starry Night in 1889,Easy
43,Technology,What does CPU stand for?,Central Processing Unit,Computer Programming Unit,Central Program Unit,Computer Processing Unit,A,CPU stands for Central Processing Unit,Easy
45,Animals,What type of symmetry do starfish exhibit?,Bilateral,Radial,Asymmetrical,Spherical,B,Starfish have five-part radial symmetry,Easy
46,Science,What is the primary function of ribosomes in cells?,Protein synthesis,DNA replication,Energy production,Waste removal,A,Ribosomes are the cellular structures responsible for protein synthesis,Easy
47,Math,What is 9²?,72,81,90,99,B,9 squared (9²) equals 81,Easy
50,Science,What is the center of an atom called?,Electron,Proton,Neutron,Nucleus,D,The nucleus is the dense center of an atom containing protons and neutrons,Easy
52,Math,What is the area of a circle with radius 5?,25π,10π,5π,π,A,Area of a circle is πr² so with radius 5 it's 25π,Medium
53,Science,What type of bond holds water molecules together?,Ionic,Covalent,Metallic,Hydrogen,D,Hydrogen bonds form between water molecules due to polarity,Medium
54,Technology,What does WWW stand for?,World Wide Web,World Web Wide,Wide World Web,Web World Wide,A,WWW stands for World Wide Web,Medium
57,Science,What is the process of cell division called?,Mitosis,Meiosis,Both A and B,Osmosis,C,Both mitosis and meiosis are types of cell division,Medium
58,Math,What is 3! (3 factorial)?,3,6,9,12,B,3! = 3 × 2 × 1 = 6,Medium
59,Art,Which art movement did Pablo Picasso help found?,Impressionism,Cubism,Surrealism,Expressionism,B,Pablo Picasso was a co-founder of the Cubist movement,Medium
61,Science,What is the study of earthquakes called?,Geology,Seismology,Meteorology,Volcanology,B,Seismology is the scientific study of earthquakes,Medium
62,Sports,How many holes are there in a standard golf course?,16,17,18,19,C,A standard golf course has 18 holes,Medium
64,Animals,What is a group of lions called?,Pack,Herd,Pride,Flock,C,A group of lions is called a pride,Medium
65,Technology,What does HTML stand for?,HyperText Markup Language,High Tech Modern Language,HyperText Modern Language,High Text Markup Language,A,HTML stands for HyperText Markup Language,Medium
66,Science,What is the mechanism behind superposition in quantum mechanics?,Wave interference,Particle collision,Probability amplitude,Magnetic resonance,C,Quantum superposition arises from probability amplitudes in wave functions,Hard
67,Math,What is the limit of sin(x)/x as x approaches 0?,0,1,∞,undefined,B,The limit of sin(x)/x as x approaches 0 is 1,Hard
69,Science,What is the name of the theoretical boundary around a black hole?,Event Horizon,Schwarzschild Radius,Photon Sphere,Ergosphere,A,The event horizon is the boundary beyond which nothing can escape a black hole,Hard
72,Math,What is the 10th term in the Fibonacci sequence?,34,55,89,144,B,The 10th Fibonacci number is 55 (1 1 2 3 5 8 13 21 34 55),Hard
73,Science,What is the name of the protein that carries oxygen in blood?,Hemoglobin,Myoglobin,Albumin,Insulin,A,Hemoglobin is the iron-containing protein that transports oxygen in red blood cells,Hard
74,Art,Which artistic technique involves applying paint in small distinct dots?,Sfumato,Chiaroscuro,Pointillism,Impasto,C,Pointillism uses small distinct dots of color developed by Georges Seurat,Hard
76,Technology,What does SQL stand for?,Structured Query Language,Simple Query Language,Standard Query Language,System Query Language,A,SQL stands for Structured Query Language,Hard
77,Science,What is the quantum mechanical explanation for chemical bonding?,Molecular orbital theory,Lewis structures,VSEPR theory,Hybridization theory,A,Molecular orbital theory uses quantum mechanics to explain bonding,Hard
78,Math,What is e^(iπ) + 1 equal to?,0,1,e,π,A,Euler's identity states that e^(iπ) + 1 = 0,Hard
81,Animals,What is the only mammal capable of true flight?,Squirrel,Bat,Flying Lemur,Sugar Glider,B,Bats are the only mammals capable of sustained flight,Easy
83,Sports,How many players are on a soccer team during play?,9,10,11,12,C,Each soccer team has 11 players on the field during play,Easy
84,Science,What is the hardest mineral on the Mohs scale?,Talc,Quartz,Topaz,Diamond,D,Diamond rates 10 on the Mohs hardness scale,Easy
86,Math,What is 50% of 200?,50,75,100,150,C,50% of 200 is 100,Easy
89,Science,What is the smallest unit of matter?,Atom,Molecule,Proton,Electron,A,The atom is the smallest unit of matter that retains chemical properties,Easy
90,Art,Which colors are primary colors?,Red Yellow Blue,Red Green Blue,Blue Yellow Orange,Green Yellow Purple,A,Red yellow and blue are the traditional primary colors,Easy
