id,category,question,optionA,optionB,optionC,optionD,correctAnswer,explanation,level
1,Science,Glikozun pirüvata dönüşmesi hangi işlemle gerçekleşir?,Glikoliz,Krebs döngüsü,Elektron taşınması,Fotosentez,A,"Glikoliz, glikozu sitoplazmada pirüvata parçalar",Easy
2,Math,7 × 8 nedir?,54,55,56,57,C,7'nin 8 ile çarpımı 56'ya eşittir,Easy
3,Science,Bitkiler fotosentez sırasında atmosferden hangi gazı emerler?,Oksijen,Azot,Karbondioksit,Hidrojen,C,Bitkiler fotosentez sırasında karbondioksiti emer ve oksijen salar,Easy
4,Sports,Bir basketbol takımında maç sırasında kaç oyuncu bulunur?,4,5,6,7,B,Her basketbol takımının aynı anda sahada 5 oyuncusu vardır,Easy
5,Science,Sofra tuzunun kimyasal formülü nedir?,NaCl,KCl,CaCl2,MgCl2,A,"Sofra tuzu, NaCl formülüne sahip sodyum klorürdür",Easy
6,Math,144 ÷ 12 kaçtır?,11,12,13,14,B,144'ü 12'ye bölersek 12 elde ederiz,Easy
7,Science,Yetişkin bir insan vücudunda kaç kemik vardır?,196,206,216,226,B,Yetişkin bir insan iskeleti 206 kemikten oluşur,Medium
8,Math,80'in %25'i kaçtır?,15,20,25,30,B,"80'in %25'i 0,25 × 80 = 20 olarak hesaplanır",Medium
9,Science,Dünyanın en sert doğal maddesi nedir?,Altın,Elmas,Ütü,Kuvars,B,"Elmas, Mohs ölçeğinde 10 sertliğe sahip en sert doğal maddedir",Medium
10,Science,Karbonun atom numarası nedir?,4,6,8,12,B,Karbonun 6 protonu vardır ve bu da ona 6 atom numarası verir,Medium
11,Math,Bir üçgenin açıları 60° 60° ve 60° ise bu üçgen ne tür bir üçgendir?,Sağ,Scalene,İkizkenar,Eşkenar,D,Tüm açıları 60°'ye eşit olan bir üçgene eşkenar denir,Medium
12,Science,Saf suyun pH değeri nedir?,5,6,7,8,C,Saf suyun pH değeri nötrdür (7),Medium
13,Sports,Hangi spor dalında smaç basardınız?,Tenis,Basketbol,Voleybol,Futbol,B,"Slam dunk, basketbolda bir sayı yapma hareketidir",Medium
14,Math,81 sayısının karekökü nedir?,7,8,9,10,C,81'in karekökü 9'dur çünkü 9 × 9 = 81,Medium
15,Science,Hangi gezegenin en çok uydusu var?,Jüpiter,Satürn,Uranüs,Neptün,B,"Satürn, 80'den fazla uydusuyla en çok doğrulanmış uyduya sahip gezegendir",Medium
16,Science,Bitkilerin yaprakları aracılığıyla su kaybetme süreci nedir?,Solunum,Terleme,Fotosentez,Çimlenme,B,"Terleme, bitki yapraklarından su kaybı sürecidir",Hard
17,Math,x²'nin türevi nedir?,X,2x,x²,2x²,B,x²'nin x'e göre türevi 2x'tir,Hard
